model_family,method,method_label,metric,mean,ci_low,ci_high,random_mean,mean_diff_vs_random,n_pairs,p_value,q_value,significance
MTL ESM-2 top 1,random_mean,Random,AUPRC,0.26729598868124504,0.21756136873364956,0.3195605149914143,0.26729598868124504,0.0,,,,
MTL ESM-2 top 1,random_mean,Random,Precision@k,0.2500789996682376,0.20004898282195457,0.30266749568257606,0.2500789996682376,0.0,,,,
MTL ESM-2 top 1,attention_weights,Attention,AUROC,0.4815232003797855,0.4591036467089178,0.5053055190504128,0.5006645216064911,-0.019141321226705622,61.0,0.07197356136681639,0.1447783097573194,ns
MTL ESM-2 top 1,attention_weights,Attention,AUPRC,0.2592962744897716,0.20682225205313606,0.31285664995280293,0.26729598868124504,-0.007999714191473386,61.0,0.12872296837206487,0.14159526520927135,ns
MTL ESM-2 top 1,attention_weights,Attention,Precision@k,0.22956682653090016,0.17702353933184853,0.2848088090369081,0.2500789996682376,-0.020512173137337462,61.0,0.007785844037830752,0.01903206320358628,*
MTL ESM-2 top 1,integrated_gradients,IG,AUROC,0.4782070794797788,0.43859985072888985,0.5192373342582711,0.5006645216064911,-0.022457442126712388,61.0,0.10074257568133357,0.1447783097573194,ns
MTL ESM-2 top 1,integrated_gradients,IG,AUPRC,0.26013716620819716,0.20851489100636034,0.31608800074618965,0.26729598868124504,-0.0071588224730479225,61.0,0.02173903773412789,0.05267386065543663,ns
MTL ESM-2 top 1,integrated_gradients,IG,Precision@k,0.2264751908751052,0.16979558154955873,0.2869941195912018,0.2500789996682376,-0.023603808793132414,61.0,0.013077602516880182,0.022581382074413667,*
MTL ESM-2 top 1,gradient_x_input,Grad×Input,AUROC,0.48681340959329594,0.46722326777020146,0.5082672670402328,0.5006645216064911,-0.013851112013195223,61.0,0.07783786565470997,0.1447783097573194,ns
MTL ESM-2 top 1,gradient_x_input,Grad×Input,AUPRC,0.26155806508280893,0.210990939358947,0.3147702854090858,0.26729598868124504,-0.005737923598436096,61.0,0.055593364807932075,0.07194435445732386,ns
MTL ESM-2 top 1,gradient_x_input,Grad×Input,Precision@k,0.238674380862322,0.18471962017785817,0.296233872287586,0.2500789996682376,-0.011404618805915605,61.0,0.05031145903779252,0.06510894699008443,ns
MTL ESM-2 top 1,smoothgrad_ig,SmoothGrad-IG,AUROC,0.4782861105351422,0.4387248411224221,0.5193211934613322,0.5006645216064911,-0.02237841107134904,61.0,0.10529331618714138,0.1447783097573194,ns
MTL ESM-2 top 1,smoothgrad_ig,SmoothGrad-IG,AUPRC,0.2603901722978372,0.20878684200982922,0.31623736005783876,0.26729598868124504,-0.0069058163834078475,61.0,0.02014544420604601,0.05267386065543663,ns
MTL ESM-2 top 1,smoothgrad_ig,SmoothGrad-IG,Precision@k,0.22811089903421577,0.17085009769643428,0.2891804191325867,0.2500789996682376,-0.02196810063402183,61.0,0.013343543953062621,0.022581382074413667,*
MTL ESM-2 top 1,occlusion,Occlusion,AUROC,0.48827396859309685,0.47432539796158824,0.5017962721849714,0.5006645216064911,-0.012390553013394276,61.0,0.05116138968797622,0.1447783097573194,ns
MTL ESM-2 top 1,occlusion,Occlusion,AUPRC,0.26087453650400966,0.2117425440804351,0.3128659070778399,0.26729598868124504,-0.006421452177235309,61.0,0.01692776624677754,0.05267386065543663,ns
MTL ESM-2 top 1,occlusion,Occlusion,Precision@k,0.23675301573315605,0.18533455018015182,0.2924813265988572,0.2500789996682376,-0.01332598393508156,61.0,0.05745357319332101,0.07022103390294791,ns
MTL ESM-2 top 1,residue_head,Residue head,AUROC,0.6414771809444461,0.6000379499688583,0.6815247746361534,0.5006645216064911,0.14081265933795484,61.0,7.911965074559718e-08,8.70316158201569e-07,***
MTL ESM-2 top 1,residue_head,Residue head,AUPRC,0.3816376662631433,0.3157069305995653,0.45078026676529,0.26729598868124504,0.11434167758189835,61.0,2.976792099685171e-07,6.548942619307376e-06,***
MTL ESM-2 top 1,residue_head,Residue head,Precision@k,0.344022588590618,0.2762923114184962,0.4128538403431045,0.2500789996682376,0.09394358892238043,61.0,0.0003930604874779355,0.002221494862871453,**
DeepPlantAllergy,random_mean,Random,AUROC,0.5002641643098122,0.49870377635848695,0.5017418095207831,0.5002641643098122,0.0,,,,
DeepPlantAllergy,random_mean,Random,AUPRC,0.26749303989291584,0.2174825044373936,0.3193847941595415,0.26749303989291584,0.0,,,,
DeepPlantAllergy,random_mean,Random,Precision@k,0.2500999968557407,0.20030151511952418,0.3023226420295766,0.2500999968557407,0.0,,,,
DeepPlantAllergy,attention_weights,Attention,AUROC,0.46774477828666583,0.42133789157931656,0.5141950007635971,0.5002641643098122,-0.0325193860231464,61.0,0.07197356136681639,0.1447783097573194,ns
DeepPlantAllergy,attention_weights,Attention,AUPRC,0.2669474926573183,0.2119834301465995,0.32446736544101007,0.26749303989291584,-0.00054554723559752,61.0,0.019763343410511957,0.05267386065543663,ns
DeepPlantAllergy,attention_weights,Attention,Precision@k,0.22153837295462642,0.1557791851117058,0.28778410525643167,0.2500999968557407,-0.02856162390111432,61.0,0.01692776624677754,0.024827390495273723,*
DeepPlantAllergy,integrated_gradients,IG,AUROC,0.5238049741358989,0.4803850224129582,0.564850341895039,0.5002641643098122,0.023540809826086785,61.0,0.2579342434988069,0.2986607029986185,ns
